REPORTE DE NOTAS
========================================================================================================================
CODIGO         CURSO     CICLO     NOTA      VEZ       CREDITOS  COD.ACCESO/CRED./PORCENTAJE
202312000      FIS220    202201    7         1         3.50      202312000 FIS220
202312000      MEC206    202301    8         1         3.00      202312000 MEC206
202312000      MEC289    202302    18        2         3.00      1.00      
202312050      INF263    202301    5         1         4.50      202312050 INF263
202312050      MAT241    202302    10        3         4.00      100.00    
202312050      MEC206    202301    17        1         3.00      202312050 MEC206
202312360      FIS220    202301    14        1         3.50      202312360 FIS220
202312360      INF246    202301    12        3         4.00      100.00    
202312360      MEC270    202301    14        1         3.50      202312360 MEC270
202312360      MEC289    202202    19        1         3.00      202312360 MEC289
202312501      MEC206    202302    16        1         3.00      202312501 MEC206
202312501      MEC270    202201    13        1         3.50      202312501 MEC270
202313065      INF263    202202    16        1         4.50      202313065 INF263
202313122      MAT241    202201    11        1         4.00      202313122 MAT241
202313122      MEC206    202202    18        1         3.00      202313122 MEC206
202313122      MEC289    202201    11        3         3.00      50.00     
202313249      FIS220    202302    17        3         3.50      100.00    
202313249      INF246    202201    11        3         4.00      100.00    
202313249      MAT241    202202    9         1         4.00      202313249 MAT241
202313754      INF246    202201    20        2         4.00      1.50      
202313754      MEC270    202202    5         1         3.50      202313754 MEC270
202314919      FIS220    202301    20        1         3.50      202314919 FIS220
202314919      MAT241    202202    18        2         4.00      1.50      
202315318      INF246    202302    17        1         4.00      202315318 INF246
202315318      MAT241    202201    17        1         4.00      202315318 MAT241
202315527      INF246    202301    7         1         4.00      202315527 INF246
202315527      INF263    202302    11        1         4.50      202315527 INF263
202315643      INF246    202201    17        1         4.00      202315643 INF246
202315643      MEC270    202202    13        1         3.50      202315643 MEC270
202315724      INF246    202202    17        1         4.00      202315724 INF246
202315724      MAT241    202202    12        1         4.00      202315724 MAT241
202315724      MEC270    202202    5         1         3.50      202315724 MEC270
202315763      MAT241    202202    20        1         4.00      202315763 MAT241
202316015      FIS220    202202    13        1         3.50      202316015 FIS220
202316015      INF246    202301    18        1         4.00      202316015 INF246
202318072      INF263    202302    14        1         4.50      202318072 INF263
202318318      INF246    202301    12        1         4.00      202318318 INF246
202318318      INF263    202201    17        1         4.50      202318318 INF263
202318320      FIS220    202202    11        1         3.50      202318320 FIS220
202318320      INF263    202301    20        2         4.50      1.50      
202318320      MAT241    202302    19        1         4.00      202318320 MAT241
202318320      MEC289    202302    16        2         3.00      1.00      
202318383      INF246    202202    16        2         4.00      1.50      
202318383      INF263    202201    12        1         4.50      202318383 INF263
202319103      FIS220    202302    17        1         3.50      202319103 FIS220
202319103      INF246    202202    7         1         4.00      202319103 INF246
202319103      INF263    202202    13        1         4.50      202319103 INF263
202319103      MAT241    202301    16        1         4.00      202319103 MAT241
202319927      MAT241    202301    20        1         4.00      202319927 MAT241
