CODIGO         TITULO                                                      AUTOR                              RANKING
JNC0786        Mi isla                                                     Elisabet Benavent                     2
MWB2923        Mudlarking                                                  Lara Maiklem                          2
QQQ4712        Nuestra Seniora de Paris                                    Victor Hugo                           2
IBP7411        Nunca                                                       Ken Follett                           2
TBZ2657        Olalla                                                      Robert Louis Stevenson                2
CLG5566        Pantaleon y las visitadoras                                 Mario Vargas Llosa                    2
PPI9259        Revolucion                                                  Arturo Perez-Reverte                  2
CRY6839        Ricardo III                                                 William Shakespeare                   2
IFL0150        Romeo y Julieta                                             William Shakespeare                   2
HWM4049        Romper el circulo                                           Colleen Hoover                        2
JZQ8143        Suenios de robot                                            Isaac Asimov                          2
NEW1762        Territorio comanche                                         Arturo Perez-Reverte                  2
MBQ9495        Tormenta de espadas                                         George R.R.Martin                     2
VMW6915        Travesuras de la ninia mala                                 Mario Vargas Llosa                    2
KTA8754        Ulises                                                      James Joyce                           2
CRR5443        Un mundo feliz                                              Aldous Huxley                         2
KGO1734        Una historia del mundo                                      Andrew Marr                           2
ZAL2738        1984                                                        George Orwell                         1
ACM9578        Amadis de gaula                                             Garci Rodriguez Montalvo              1
JEN0751        Ana Karenina                                                Leon Tolstoi                          1
GUN8655        Angeles y demoniosi                                         Dan Brown                             1
VYK6352        Armas germenes y acero                                      Jared Diamond                         1
LJD9991        Baudolino                                                   Umberto Eco                           1
XIU2628        Cabo Trafalgar                                              Arturo Perez-Reverte                  1
EBE0042        Capitanes intrepidos                                        Rudyard Kipling                       1
KLO8691        Catedral                                                    Raymond Carver                        1
LQL0880        Contra el fascismo                                          Umberto Eco                           1
ION3794        Crepúsculo                                                  Stephenie Meyer                       1
OWU1533        Cuatro principes                                            John Julius Norwich                   1
EYV0597        Cuentos de la selva                                         Horacio Quiroga                       1
BZX4462        Culpa mia                                                   Mercedes Ron                          1
GXB5722        Cumbres borrascosas                                         Emily Brontë                          1
LGB2311        Decameron                                                   Giovanni Boccaccio                    1
HCT8192        Diario                                                      Ana FranK                             1
DDU0764        Dioses tumbas y sabios                                      C. W. Ceram                           1
UQL8643        Dracula                                                     Bram Stoker                           1
KCI5219        El Maestro y Margarita                                      Mijail Bulgakov                       1
PGK5617        El Rey Lear                                                 William Shakespeare                   1
WGA2754        El club Dumas                                               Arturo Perez-Reverte                  1
LJE6687        El codigo Da Vinci                                          Dan Brown                             1
TAB4639        El color que cayo del cielo                                 H. P. Lovecraft                       1
JHP0390        El conde de Montecristo                                     Alexandre Dumas                       1
RYI5447        El corazon es un cazador solitario                          Carson Mccullers                      1
PQB0775        El diablo de la botella y otros cuentos                     Robert Louis Stevenson                1
FWK6327        El doble                                                    Fiodor Dostoyevski                    1
JGG5049        El eterno marido                                            Fiodor Dostoyevski                    1
ZNF2241        El extranio caso del Dr. Jekyll y Mr. Hyde                  Robert Louis Stevenson                1
AZL1098        El extranjero                                               Albert Camus                          1
BUC5125        El faro de Stalingrado                                      Iain MacGregor                        1
CRA4157        El forastero misterioso                                     Mark Twain                            1
HHR5161        El francotirador paciente                                   Arturo Perez-Reverte                  1
GWE4133        El gato negro y otros cuentos                               Edgar Allan Poe                       1
GOG7446        El guardian entre el centeno                                J. D. Salinger                        1
SBF7018        El handicap de la vida                                      Rudyard Kipling                       1
PHL4155        El idiota                                                   Fiodor Dostoyevski                    1
EUO8195        El jardin del Eden                                          Hernest Hemingway                     1
QFG6515        El libro de la selva                                        Rudyard Kipling                       1
HXB2949        El medico                                                   Noah Gordon                           1
XTM9385        El mundo                                                    Simon Sebag Montefiore                1
YDK7687        El otonio del patriarca                                     Gabriel Garcia Marquez                1
USM9579        El perfume                                                  Patrick Suskind                       1
WOF6634        El problema final                                           Arturo Perez-Reverte                  1
UFK9792        El psicoanalista                                            John Katzenbach                       1
DXP8640        El retrato de Dorian Gray                                   Oscar Wilde                           1
HLC2748        El senior de los anillos (Trilogia)                         J.R.R.Tolkien                         1
ZJM1292        El suenio del celta                                         Mario Vargas Llosa                    1
BAP2859        El túnel                                                    Ernesto Sabato                        1
QMJ4188        Emma                                                        Jane Austen                           1
YXF2137        En agosto nos vemos                                         Gabriel Garcia Marquez                1
CUV7849        Ficciones                                                   Jorge Luis Borges                     1
HLB4548        Frankenstein o el moderno Prometeo                          Mary W. Shelley                       1
MTZ2227        Hamlet                                                      William Shakespeare                   1
ISY5671        Harry Potter y la piedra filosofal (Harry Potter 1)         J. K. Rowling                         1
THT4126        Harry Potter y las reliquias de la muerte (Harry Potter 7)  J. K. Rowling                         1
VHK9148        Historia y cronologia del mundo                             Isaac Asimov                          1
GKG6581        Hombres buenos                                              Arturo Perez-Reverte                  1
KPE7420        Jane Eyre                                                   Charlotte Brontë                      1
SFZ1256        La Iliada                                                   Homero                                1
OUU5470        La carta esferica                                           Arturo Perez-Reverte                  1
NGQ6935        La casa de los espiritus                                    Isabel Allende                        1
VFO4193        La catedral del mar                                         Ildefonso Falcones                    1
TDY0497        La chica del tren                                           Paula Hawkins                         1
MVU0233        La conspiracioni                                            Dan Brown                             1
EFD3949        La divina comedia                                           Dante Alighieri                       1
GPH1575        La gran aventura de los griegos                             Javier Negrete                        1
QMI4747        La isla de los amores infinitos                             Daina Chaviano                        1
JKE9650        La metamorfosis                                             Franz Kafka                           1
PWB4941        La montania magica                                          Thomas Mann                           1
EWI3090        La seniora Dalloway                                         Virginia Woolf                        1
BUY4915        La sombra del aguila                                        Arturo Perez-Reverte                  1
SMW0186        La sombra del viento                                        Carlos Ruiz Zafon                     1
BRG4234        La telarania de Carlota                                     E. B. White                           1
PWX7633        La tia Julia y el escribidor                                Mario Vargas Llosa                    1
MIK5358        La transformacion del mundo                                 Jürgen Osterhammel                    1
LVP3355        Las aventuras de Sherlock Holmes                            Arthur Conan Doyle                    1
QRH6838        Las cronicas de Narnia                                      C. S. Lewis                           1
DEF7625        Las uvas de la ira                                          John SteinbecK                        1
XRL3393        Le dedico mi silencio                                       Mario Vargas Llosa                    1
HDA2333        Lituma en los Andes                                         Mario Vargas Llosa                    1
DND9446        Lo que el viento se llevo                                   Margaret Mitchell                     1
SMI7078        Los cachorros                                               Mario Vargas Llosa                    1
VYG3594        Los demonios                                                Fiodor Dostoyevski                    1
XMT1768        Los diarios de Adan y Eva                                   Mark Twain                            1
HRT0664        Los funerales de la Mama Grande                             Gabriel Garcia Marquez                1
OMN0252        Los hermanos Karamazov                                      Fiodor Dostoyevski                    1
DTH6788        Los perros duros no bailan                                  Arturo Perez-Reverte                  1
FKK6524        Los renglones torcidos de Dios                              Torcuato Luca de Tena                 1
MLC7198        Los rios profundos                                          Jose Maria Arguedas                   1
FVV9246        Matar a un ruisenior                                        Harper Lee                            1
SIR3963        Memorias de una geisha                                      Arthur Golden                         1
SXT1015        Mientras agonizo                                            William Faulkner                      1
DVR5984        Mil soles esplendidos                                       Khaled Hosseini                       1
ETV5056        Moby Dick                                                   Herman Melville                       1
MKB4184        Napoleon                                                    Alejandro Dumas                       1
HGQ0131        Odisea                                                      Homero                                1
JOF6762        Ojos azules                                                 Arturo Perez-Reverte                  1
OWO8918        Origen                                                      Dan Brown                             1
GJM4671        Origenes                                                    Lewis Dartnell                        1
BUB3833        Otelo                                                       William Shakespeare                   1
NBE1339        Palmeras en la nieve                                        Luz Gabas                             1
CPE5718        Paris era una fiesta                                        Hernest Hemingway                     1
WMN3648        Pasaje a la India                                           E. M. Forster                         1
HSE3213        Por quien doblan las campanas                               Hernest Hemingway                     1
YJE2497        Progreso del peregrino                                      John Bunyan                           1
XIU6076        Rebelion en la granja                                       George Orwell                         1
PRD1648        Relato de un naufrago                                       Gabriel Garcia Marquez                1
LQA8555        Rimas y leyendas                                            Gustavo Adolfo Becquer                1
JXC1015        Robinson Crusoe                                             Daniel Defoe                          1
UCA0857        SPQR: una historia de la antigua Roma                       Mary Beard                            1
PVS2464        Sapiens                                                     Yuval Noah Harari                     1
WYS2674        Secuestrado                                                 Robert Louis Stevenson                1
RAO4129        Stalingrado                                                 Jonathan Trigg                        1
XBC5847        Tiempos recios                                              Mario Vargas Llosa                    1
SBU9053        Tierra arrasada                                             Alfredo Gonzalez Ruibal               1
MSW8176        Todo se desmorona                                           Chinua Achebe                         1
EFQ0297        Trampa 22                                                   Joseph Heller                         1
RRE8138        Trilogia de la Fundacion                                    Isaac Asimov                          1
WPU8819        Tristam Shandy                                              Laurence Sterne                       1
VTY5195        Un asunto de honor                                          Arturo Perez-Reverte                  1
SHF2360        Un dia de colera                                            Arturo Perez-Reverte                  1
USK1312        Un mundo sin fin                                            Ken Follett                           1
IGT8523        Una columna de fuego                                        Ken Follett                           1
JTX5687        Veinte mil leguas de viaje submarino                        Julio Verne                           1
DDT0017        Viaje al fin de la noche                                    Louis Ferdinand Celine                1
QVU3526        Vidas intrepidas                                            Julio Albi de la Cuesta               1
PCS8992        Y no quedo ninguno                                          Agatha Christie                       1
